N°DPE;Etiquette_DPE;Année_construction;N°_voie_(BAN);Code_postal_(BAN);Nom__rue_(BAN);Nom__commune_(Brut);Conso_5_usages_é_finale
2333E2333646Z;D;1945;24;33100;Rue de la Benauge;BORDEAUX;2736,7
2189E0788867M;E;1972;34;89100;Lotissement les Barmites;NAILLY;29078,4
2271E2212774M;E;1945;3;71140;Rue Bon-vent;BOURBON-LANCY;5817,1
2337E2494842Z;F;1989;11;37170;Avenue Bois Lopin;CHAMBRAY LES TOURS;2430,8
2101E0705476T;D;2001;37;01290;Chemin de la Graviere;LAIZ;17828,5
2215E2353281L;F;1945;6;15000;Rue du Crucifix;AURILLAC;9293,7
2324E1193442Q;E;1945;;24530;La Puychardie;VILLARS;25411,3
2149E0767462R;F;1947;3;49230;Charbonneau (la Renaudière);SEVREMOINE;49845,6
2277E1751248S;C;2009;2;77185;Boulevard de la Malvoisine;Lognes;5598,5
2351E1927504V;E;1945;75;51100;rue Albert Thomas;REIMS;22490,9
2172E0835804C;C;1957;;72100;allée César Franck;LE MANS;4430,3
2291E1414218O;F;1961;;91380;Allée de l’Esplanade;CHILLY-MAZARIN;13778
2333E3160004Z;A;2016;50;33240;Chemin de Fuserat;SALIGNAC;2867,8
2135E0701953O;C;1991;73;35000;Rue Bigot de Préameneu;RENNES;28456,7
2292E2035981O;C;2001;;92400;.;Courbevoie;4457,9
2383E2281826V;D;1900;4;83190;Rue Gabriel Péri;OLLIOULES;2773,7
2163E0612643Q;F;1947;;63210;;ROCHEFORT MONTAGNE, France;47853,3
2214E0666889E;C;1976;3;14000;des Anciens d'Afn;Caen;8333,9
2330E0067597D;E;1945;2;30400;Place de la Croix;Villeneuve-lès-Avignon;3612,1
2138E0629280O;C;1978;48;38160;Chemin des Forges;SAINT-VÉRAND;13836,6
2235E1834204S;D;1961;;35200;Rue de Vern;RENNES;10792,5
2337E1547450V;D;1945;3;37160;Allée du Grignon;LA CELLE ST AVANT;38054,7
2150E0813897R;F;1947;4;50690;Valtot;VIRANDEVILLE, France;38160,7
2276E2093714L;C;2011;4;76340;Rue des Erables;AUBERMESNIL-AUX-ERABLES;8879,7
2362E2940066Y;E;1945;;62670;;MAZINGARBE;18526,8
2159E0775329Q;E;1947;37;59123;Rue Charles Pichon;BRAY DUNES, France;27204,6
2295E0438442W;D;1970;28;95400;Avenue du 8 Mai 1945;Villiers-le-Bel;12934,6
2363E0645444H;C;2001;;63800;rue des Fusillés de Vingré;COURNON D'AUVERGNE;2887,5
2116E0725127D;D;1975;22;16500;Route de Limoges;ST MAURICE DES LIONS;25593,7
2251E0781583X;G;1945;8;51100;rue des Carmélites;REIMS;7009,6
2344E2419132I;E;1945;4;44700;Place de l'Eglise;Orvault;48673,3
2128E0651573P;D;1947;14;28190;Rue de la Pompe;COURVILLE-SUR-EURE;17199,4
2238E1674585Q;C;1985;;38190;des castors;Villard-Bonnot;4760
2373E1358662D;E;1900;17;73200;Avenue du champ de mars;Albertville;19561,8
2195E0799456Z;F;1650;3;95300;Sente de lâ€™Ecole;LIVILLIERS;48873,1
2251E2657780I;C;1945;17;51390;Grande Rue;ROSNAY;15160,2
2335E3184902R;C;1983;4;35230;Rue des Sports;BOURGBARRE;3308,8
2158E0682592U;E;1947;;58000;;ST ELOI;85807,7
2292E2859623C;E;1945;42;92100;Rue Thiers;BOULOGNE-BILLANCOURT;9103,3
2395E3396377Q;C;2006;4;95140;Rue Ambroise Pare;Garges-lès-Gonesse;5152,2
2109E0716323G;G;1948;;09400;Mercus Village;MERCUS GARRABET;27585,8
2294E1915724J;C;1948;;94500;Square Diderot;CHAMPIGNY-SUR-MARNE;5752,1
2373E1197466H;D;1971;22;73200;Avenue sainte-thérèse;Albertville;14678,7
2177E0716732P;D;1982;9;77185;Rue du Bois de la Grange;LOGNES;20837,8
2244E0630406D;D;1968;1;44800;Rue de Cahors;Saint-Herblain;11846,3
2316E1366301T;D;1967;5;16800;Rue Gabriel Faure;Soyaux;7247,1
2134E0721296M;D;1983;9;34380;Rue du Fanabregu;ST MARTIN DE LONDRES;19584,4
2229E3174783F;C;2017;20;29600;Rue des Digitales;ST MARTIN DES CHAMPS;6563,9
2311E1113941K;F;1945;2;11390;Chemin des Porges;CAUDEBRONDE;17342,2
2187E0583070D;D;1947;12;87250;Rue de lâ€™Ancienne Cure;ST PARDOUX;35940,5
2252E0660776N;C;1976;45;52200;du Capitaine Baudoin;old Langres;5188
2393E3513120R;C;1989;44;93300;Rue du Goulet;AUBERVILLIERS;2085,7
2188E0755713H;F;1947;36;88250;Route de Gerardmer;LA BRESSE;91589,9
2230E1970817W;F;1960;2;30200;Rue du Bosquet;Saint-Nazaire;14341,8
2333E3378966P;D;1978;;33850;;LEOGNAN;13733,2
2116E0672644O;E;1947;;16220;;ECURAS;33119,3
2294E2589124J;D;1948;3;94340;Rue Robard;JOINVILLE-LE-PONT;10764,2
2331E3544945I;C;2016;2;31150;Rue du 19 Mars 1952;GRATENTOUR;3947,2
2122E0677945R;E;1948;;22160;Kerguefiou;MAEL PESTIVIEN;29356,2
2268E0511988N;C;1961;20;68700;Rue du 8 Mai;CERNAY;13552,5
2316E1049764G;C;2022;10;16160;Rue des Sablons;Gond-Pontouvre;2808,1
2149E0691038H;E;1947;505;49110;Chêne-Hubert (le Fuilet);MONTREVAULT SUR EVRE, France;64115,7
2295E3006043T;C;1983;;95150;.;TAVERNY;6835,9
2316E1049653Z;E;1967;;16800;Rue Romain Rolland;Soyaux;27260,3
2185E0568606T;D;1947;153;85000;Rue Hubert Cailler;LA ROCHE SUR YON;30058,7
2278E2990394F;C;1983;;78500;.;SARTROUVILLE;10887
2376E2200929D;D;1983;;76140;Rue Franklin Roosevelt;LE PETIT QUEVILLY;4735,4
2188E0680159J;G;1947;51;88210;Rue Abbe Charles Mathieu;LE SAULCY;31319,1
2259E2446856E;E;1945;73;59152;Route Nationale;CHERENG;43535,8
2359E2270240H;D;2007;31b;59223;Rue des Frères Bonduel;Roncq;5729,8
2135E0779340Z;D;1948;6;35400;Rue Emile Brindejonc;ST MALO;25078
2293E1287037B;C;1961;;93000;.;BOBIGNY;6802,4
2344E0635692M;A;2015;53;44260;Rue Guy Môquet;SAVENAY;2104
2130E0569763D;G;1978;;30460;;COLOGNAC;33087,8
2214E0269725Q;D;1966;;14500;Rue de la Planche;VIRE;13508,8
2335E3171131A;D;2006;;35600;Rue Charles Sillard;REDON;4702,8
2183E0807254L;B;1999;;83390;;PUGET-VILLE;7240,4
2244E1704075C;D;1960;;44300;11 au 19 rue Jean de la Bruyère;Nantes;9367,2
2328E3189491X;E;1984;18;28190;Village de l'Orme des Muriers;Courville-sur-Eure;6110,4
2169E0810883M;C;1984;;69400;;ARNAS;13506,4
2244E0631918H;D;1968;1;44800;Rue de Cahors;Saint-Herblain;13508,8
2392E0193760Y;D;2013;25;92100;Rue Georges Sorel;BOULOGNE-BILLANCOURT;3321,7
2172E0567662Y;C;2001;30;72650;Rue du Haut Pignon;LA CHAPELLE ST AUBIN;16619,5
2144E1025502C;D;1971;;44800;Rue de la Mayenne;SAINT-HERBLAIN;7376,8
2369E0495219Q;E;1948;13;69220;Rue Antoine Mortier;BELLEVILLE;8857,6
2162E0778073H;D;1948;60;62480;Rue Georges Clémenceau;LE PORTEL;23432,4
2230E0730342H;C;1961;;30200;0383_TOUR G1_ 7 Allee des Platanes;Bagnols-sur-Cèze;6146,3
2376E0117361X;B;1979;1;76290;Rue Jean Cocteau;MONTIVILLIERS;3678,2
2120E0724193J;C;1983;;20600;;BASTIA;23001,9
2295E0692296M;D;1961;;95160;.;Montmorency;4770,2
2376E3239341B;G;1945;69;76630;Avenue de l'Europe;BIVILLE-SUR-MER;22390
2171E0767888X;D;1948;;71000;;MÂCON, France;13298,2
2235E0161604Y;C;1985;;35000;;RENNES;5109,8
2337E3211698J;E;1948;1;37000;Rue Carnot;TOURS;4500,7
2174E0776356S;F;1948;146;74920;Route de la Croix de Pierre;COMBLOUX;37730
2244E0944547M;D;1994;5;44340;Rue de l'Etoile du Berger;Bouguenais;8115,7
2333E2026508Z;E;1945;71;33140;Rue Carle Vernet;VILLENAVE D ORNON;5073,9
2150E0700590S;D;1978;10;50140;La Deliniere;Saint Barthélémy;22543,7
2293E0840489D;C;1970;;93140;.;Bondy;8423,9
2376E0794132O;D;1989;2;76600;Rue Pierre Faure;LE HAVRE;5199,3
2101E0080776V;E;1900;;01990;14 Rue des Verchères;CHANEINS;34206,5
2276E2890279O;D;1976;6;76400;Rue du 8 Mai 1945;FECAMP;7718,1
2394E3797641V;E;1858;70;94100;Boulevard de Créteil;Saint-Maur-des-Fossés;4618,1
2172E0836648O;B;1957;;72100;;LE MANS;8043,6
2283E3034769D;C;2002;40;83000;Avenue Georges Bizet;TOULON;4479,1
2306E2534061F;E;1965;12;06400;Rue de Mimont;Cannes;2053,6
2121E0556403Y;E;1947;11;21460;Rue Gueneau;COURCELLES-FRÉMOY;20571,4
2177E1040431O;C;1961;104;77400;Rue  du Maréchal Galliéni;Thorigny-sur-Marne;5583,4
2325E1413168R;D;2006;21;25000;allée de l'île aux moineaux;Besançon;4485,4
2151E0986855Y;D;1980;16;51430;Place Auzers;TINQUEUX;16292,9
2267E0843072M;D;1945;13;67200;Rue du César Julien;STRASBOURG;10404,6
2375E1836652L;G;1945;63;75011;Rue Sedaine;PARIS;14599,6
2149E0731601K;F;1947;;49350;;GENNES VAL DE LOIRE;24546,5
2258E1127733Q;C;1945;9;58380;Place de l'Eglise;LUCENAY LES AIX;12320,6
2351E2047594R;D;1989;;;;Blancs Coteaux;8278,5
2113E0858743C;E;1948;3;13010;Boulevard Romain Rolland;MARSEILLE;9991,3
2292E2686607Q;C;1989;36;92380;Grande Rue;GARCHES;3546,3
2328E3631108E;G;1991;11bis;28210;Rue Porte Chartraine;Nogent-le-Roi;13368,6
2142E0768433T;C;2013;11;42700;Allée des Coteaux du Pinay;FIRMINY;10400,5
2294E2084064Z;D;1989;8;94510;Rue des Vosges;LA QUEUE-EN-BRIE;11321,6
2351E1712438B;C;1975;3f;51100;rue des 16ème et 22ème Dragons;REIMS;14041,6
2114E0662009L;D;1978;34;14000;Rue du Clos Herbert;CAEN;11011,7
2269E0266626O;C;1961;;69650;Rue Raymond Mathieu;SAINT-GERMAIN-AU-MONT-D'OR;6621,4
2336E2007553B;C;1961;;;;CHATEAUROUX;8426,1
2151E0600453I;C;1989;10;51510;Rue André Huot;Fagnières, France;16632,9
2214E2862039A;D;1958;5;14360;Impasse Maurice Lecroisey;TROUVILLE SUR MER;4406
2367E0512339A;C;1945;3;67000;Avenue de la Marseillaise;Strasbourg;3421,8
2145E0560497I;F;1948;;45220;;DOUCHY;30371,5
2244E1423903G;B;2015;;44480;Le Bas Lin;DONGES;5186,1
2360E2783204S;D;1989;1;60000;Cour des 3 Lanternes;Beauvais;11005,8
2129E0619908T;E;1947;70;29300;Rue de Quimper;QUIMPERLÉ;31783,3
2292E2231699E;D;1948;;92500;.;RUEIL-MALMAISON;14153,3
2360E1180714M;C;1981;2;60100;Allee du Faubourg;Creil;5609,5
2159E0809671M;E;1947;20;59540;Rue de la Sucrerie;CAUDRY;24779,6
2267E1329681F;E;1961;7b;67000;Rue de l'Abreuvoir;STRASBOURG;7357
2324E0217537V;F;1945;525;24380;Chemin des Alsaciens;GRUN-BORDAS;33052,3
2134E0842653B;F;1947;7;34380;Plan Bellevue;ST MARTIN DE LONDRES;26645
2244E0892113U;C;1972;11;44700;Rue Alphonse Beillevaire;Orvault;374962
2316E1844954M;D;1982;36;16470;Rue de l'Egalité;Saint-Michel;8307,7
2145E0745052P;C;2006;18;45140;Rue des Grillons;INGRE;19079,2
2244E0637436N;E;1967;1;44800;Boulevard du Massacre;ST HERBLAIN;25810
2378E3052272E;C;1975;105;78300;Rue Saint Sébastien;POISSY;7858
2165E0632416F;D;1975;7;65690;Avenue des Palombières;BARBAZAN DEBAT;27983,9
2214E3112801S;C;2014;10;14160;Rue Jorge Semprun;Dives-sur-Mer;8424
2313E0614814H;C;1948;;13013;Avenue des balustres;Marseille 13e Arrondissement;7026
2163E0766117M;E;1948;8;63570;Avenue de lâ€™Industrie;AUZAT-SUR-ALLIER;17806
2244E0628127M;C;2014;7;44400;Rue Charles Rivière;Rezé;2733,1
2313E0615881I;C;1948;;13013;Avenue des balustres;Marseille 13e Arrondissement;5009,2
2162E0627162A;C;1989;4;62410;Domaine de la Rayere;HULLUCH;14084,8
2231E2611886K;B;2017;2;31400;Rue René Cornement;Toulouse;1563,3
2362E1547929F;D;2010;188;62700;All la Comtesse Mahaut d’Artois;Bruay-la-Buissière;16722
2165E0677985W;E;1948;157;65130;Chemin du Sarrat;CAPVERN;40401,5
2274E1407018Z;D;1945;160;74540;Route des Combes;Héry-sur-Alby;12146,2
2376E0823494W;E;1948;;76300;Rue Henri Gadeau de Kerville;SOTTEVILLE LES ROUEN;14923,8
2145E0585650T;E;1975;57;45100;Rue Vieille Levée;ORLÉANS;54190,9
2262E3146519K;D;1945;1;62750;Rue Roger Salengro;Loos-en-Gohelle;25414,3
2322E1432081Z;D;1968;;22100;Boulevard André Aubert;DINAN;12900,1
2172E0838238S;C;1957;17;72100;Boulevard Jean-Sébastien Bach;LE MANS;5677,8
2213E1594742U;D;1945;;13016;13016;Marseille;10707,7
2375E3923915U;C;1989;20;75010;Rue de Sambre-Et-Meuse;PARIS;5431,6
2157E0738672R;D;1983;2;57245;Rue du Corbon;JURY;21914,8
2214E2472520N;C;2013;16;14430;Rue Alphonse Allais;Dozulé;9096
2395E3084593Y;C;1983;.;95800;Avenue du Haut Pave;Cergy;5475,9
2167E0685128R;D;1947;16;67700;Route de Saverne;ECKARTSWILLER;22323,8
2242E0040016T;C;1950;65;42000;Rue Pierre Sémard;Saint-Etienne;6373,6
2377E1490491Q;C;2023;11;77100;Rue des Bruyères;Nanteuil-lès-Meaux;3873,4
2185E0543203S;E;1948;2;85170;Impasse des Temples;Saint-Denis-la-Chevasse;32488,8
2244E1142710D;C;1982;1;44800;Place des Aveneaux;Saint-Herblain;8263
2378E1579008E;C;1948;18;78100;Rue Schnapper;SAINT-GERMAIN-EN-LAYE;5746,1
2106E0885022O;E;1948;16;06300;Rue Anatole de Monzie;NICE;18681
2294E0045618F;F;1945;16;94800;Rue Louis Fabulet;VILLEJUIF;16820,3
2336E0596699L;C;1956;;59790;Giratoire F. Chopin - R. Descartes;CHABRIS;4180,1
2144E0974182G;C;1976;3;44800;Rue d'Amiens;Saint-Herblain;13537,1
2294E1266882X;B;1961;;94230;.;CACHAN;3983,4
2351E1170104B;D;1945;2;51170;Ancien Faubourg de Vesle;FISMES;18697,4
2144E0974241N;C;1976;3;44800;Rue d'Amiens;Saint-Herblain;11229,1
2252E1114124Z;C;1985;281;52200;Avenue de la Résistance;old Langres;4092
2378E3539114W;C;1983;11;78280;Rue de la Mare de Troux;Guyancourt;8596,9
2144E0974398O;C;1976;3;44800;Rue d'Amiens;Saint-Herblain;11004,1
2195E1033429Y;D;1982;;95370;24 Arpents, Général De Gaulle et Paul Cezanne;Montigny-lès-Cormeilles;10787,3
2244E3224637G;G;1955;;44400;Rue de la Coran;Rezé;19871,9
2169E0900957W;D;1958;41;69530;Rue du Presbytère;BRIGNAIS;18931,1
2230E1120088N;D;1961;;30220;660_B 4/6 PLACE GENERAL DUVAL;Aigues-Mortes;10881,2
2393E2527390Z;C;2006;62;93100;Rue Edouard Vaillant;Montreuil;2402,8
2192E0865043L;D;1978;13;92340;Avenue de Montrouge;BOURG LA REINE;14059,4
2291E2248129B;C;1948;;91940;Le Bosquet;LES ULIS;3026,9
2359E1562720Z;E;1948;3b;59000;Rue de Trévise;LILLE;14459,9
2172E0839774U;C;1957;4;72000;Rue Béranger;LE MANS;5395,1
2244E2674002Z;C;2020;2;44470;Allée du Râle des Genêts;Mauves-sur-Loire;4307,7
2262E3233158R;E;1977;62;62440;Avenue de la Fosse;HARNES;11411,5
2129E0842593O;E;1947;93;29770;Rue du 14 Juillet;AUDIERNE;27839,4
2244E1125812F;D;1964;7;44700;Allée du Lay;Orvault;15488
2353E1208571Q;C;;24b;53960;Rue Bodereau;BONCHAMP LES LAVAL;6864,9
2129E0842646P;E;1970;;29820;;BOHARS;38334,1
2266E2654332H;C;2017;35;66350;Avenue de Thuir;Toulouges;4380,9
2331E1157544F;C;1989;27;31820;Rue de la Chênaie;PIBRAC;11275,6
2172E0842684S;C;1957;2;72100;Allée Beethoven;LE MANS;5319,8
2291E2737157V;D;1948;25;91120;Residence de la Vallee;Palaiseau;9458,6
2338E3192648S;A;2018;33;38870;Lotissement Domaine de la Grande Terre;ST SIMEON DE BRESSIEUX;2388,9
2172E0842701J;C;1957;2;72100;Allée Beethoven;LE MANS;5244
2295E2122456Q;E;1980;7;95400;Rue du Marché;Arnouville les gonesse;17248,4
2342E3257005D;E;1967;40;42400;Boulevard Pierre Joannon;ST CHAMOND;20098,1
2172E0842747D;C;1957;2;72100;Allée Beethoven;LE MANS;5319,8
2224E1882926F;D;1961;6;24390;Place du Chanoine Goumet;CHERVEIX CUBAS;13471,5
2331E1579555K;B;1998;22;31000;Rue Léonce Castelbou;Toulouse;1307,4
2159E0843143W;F;1947;18;59600;Avenue du Pont Rouge;MAUBEUGE;32735,8
2254E2669286Z;G;1975;1;54240;Rue Saint Robert;Jœuf;56304,4
2332E3832319F;D;;632;32370;Chemin de Peyret;MANCIET;157028,1
2194E0844664S;D;1948;15;94210;Rue Viollet-le-Duc;ST MAUR DES FOSSES;63627,7
2271E1619553H;E;1961;5;71170;Rue Pasteur;Chauffailles;13379,4
2333E0227645Y;A;;;33440;Rue Paul Verlaine;AMBARES ET LAGRAVE;3137,5
2157E0845711O;F;1947;8;57710;Rue Saint Gorgon;AUMETZ;69230,4
2291E1117528K;C;1959;;91200;.;ATHIS-MONS;6665,6
2378E2675040G;E;1975;2;78500;Rue Fernand Leger;SARTROUVILLE;12184,7
2172E0835372M;C;1957;;72100;;LE MANS;4438,4
2295E1652434W;C;1985;;95150;.;TAVERNY;6113,5
2369E1829400H;D;;3;69400;Allee du Forest;LIMAS;12371,2
2172E0835417F;C;1957;;72100;;LE MANS;4438,4
2128E1030378A;D;1976;13 15 17 19 21;28110;rue de Bruxelles;Lucé;13566,2
2376E0470901P;E;1957;742;76580;Rue du Maréchal Foch;LE TRAIT;15056,7
2172E0835515Z;C;1957;3;72100;Allée Schubert;LE MANS;5387,5
2252E0784317C;D;2008;6;52600;Rue des Champs de Pierres;Chaudenay;12946,6
2395E2124677C;C;2023;1;95360;Allée Raymond Gurême;GROSLAY;4736,5
2172E0836181P;C;1957;;72100;;LE MANS;3897
2228E1401702T;E;1976;4;28200;Rue des Lilas;Saint-Denis-Lanneray;16096,1
2314E1934991J;C;2021;1;14760;Rue Raymond Queneau;BRETTEVILLE SUR ODON;5878,2
2172E0836343V;C;1957;17;72100;Boulevard Jean-Sébastien Bach;LE MANS;4860,3
2293E3021693P;C;1948;25;93200;LENINE;Saint-Denis;5398,8
2342E3320070S;E;1967;4;42152;Clos de Voron;L HORME;15423,6
2142E0836642E;E;1984;383;42430;Route du Taillis;CHAUSSETERRE;23913,6
2293E1098640A;C;1961;;93100;;MONTREUIL;5265,9
2381E3633150T;C;2022;53;81310;Avenue Charles de Gaulle;LISLE SUR TARN;6118,1
2172E0836662C;B;1957;;72100;;LE MANS;8043,6
2294E1266848P;B;1961;;94230;.;CACHAN;6518,3
2373E1996738N;D;2006;935;73330;Route du roulet;LE PONT DE BEAUVOISIN, France;7832,4
2172E0838345V;C;1957;17;72100;Boulevard Jean-Sébastien Bach;LE MANS;5595,7
2135E1021491M;C;1976;;35510;;CESSON-SEVIGNE;7605,8
2354E2810570A;C;2019;10;54240;rue des chardons;JOEUF;7154,3
2172E0838370U;C;1957;17;72100;Boulevard Jean-Sébastien Bach;LE MANS;5759,8
2280E1677075A;C;1948;13;80080;Rue de la Rochefoucauld;Amiens;4227
2353E1117548T;C;;3;53200;Rue des Rainettes;CHATEAU GONTIER;6850,1
2167E0832454B;D;1947;7;67120;Rue du Général Leclerc;MOLSHEIM;41455,3
2295E0668885B;C;1995;;95280;;JOUY-LE-MOUTIER;7949
2365E2837503I;G;;40;65370;Rue de la Chapelle;ANLA, France;70807,9
2126E0823760C;C;1948;49;26400;Rue Antoine de Pluvinel;CREST;13421,5
2259E0330384K;E;1995;15bis;59300;Rue des Royes;VALENCIENNES;14580,4
2374E3211414W;E;1981;10;74960;Chemin du Vieux Meythet;MEYTHET;12806,2
2134E0812590U;D;1978;1;34380;Allee des Cigales;ST MARTIN DE LONDRES;20443,3
2294E3001977I;C;1948;;94420;.;LE PLESSIS-TREVISE;8844,1
2381E1378657M;C;;453;81990;chemin de cavazies;FREJAIROLLES, France;21781,3
2172E0816112S;C;1974;9;72160;Rue des Noyers;TUFFE VAL DE LA CHERONNE;18655,4
2294E1266888D;B;1961;;94230;.;CACHAN;7966,8
2386E0803218K;C;2015;8;86130;Rue Suzanne Valadon;JAUNAY-CLAN;9939,2
2113E0816247Q;D;1980;;13990;;FONTVIEILLE;29930,7
2294E2333376X;B;2013;5;94300;Rue Saulpic;VINCENNES;1640,4
2359E2274875O;D;;21;59492;Rue d'Auvergne;HOYMILLE;15936,4
2171E0816274X;D;1948;6;71350;Rue Bourgeoise;CHARNAY LES CHALON;34081,9
2295E2010443L;C;1967;;95150;DES BRUYERES;Taverny;4823,6
2384E1700646U;D;;126;84830;Chemin du Cros de la Martine;SÉRIGNAN-DU-COMTAT;27041,6
2167E0816495G;D;1973;36;67480;Rue Principale;ROESCHWOOG;36505,3
2294E1670847A;C;1980;;94700;Square Louis Braille;MAISONS-ALFORT;13487,6
2376E3770474G;C;2010;7;76470;Avenue du Marechal Foch;LE TRÉPORT;4790,3
2127E0816804P;D;1947;6;27870;Rue du Cageot;VESLY;24331,3
2242E3170049Q;B;1948;;42160;RUE LAMARTINE / RUE RACINE;Andrézieux-Bouthéon;7980,3
2385E1657562T;C;2005;23;85470;Rue de la martinière;BRETIGNOLLES-SUR-MER;6197,8
2153E0809112T;F;1949;;53140;;PRE EN PAIL ST SAMSON;32755,6
2213E2373698Q;C;1995;22;13005;Rue Jean Martin;Marseille;6203,2
2376E0470946I;E;1957;742;76580;Rue du Maréchal Foch;LE TRAIT;12276,3
2151E0809570H;E;1947;4;51320;Rue de Trouan;SOMPUIS;42742,8
2214E1720094B;D;1975;5 et 7;14100;des Arts;Lisieux;11318,6
2357E2602885G;D;;68;57200;Rue de 2 Ponts;SARREGUEMINES;38554,9
2144E0810000O;D;1948;11;44800;Rue d'Issoire;ST HERBLAIN;13044,9
2274E2193142N;E;1945;6;74000;Avenue de la mandallaz;Annecy;16662,7
2333E1109993K;C;2012;1;33440;Rue Nelson Mandela;Ambarès-et-Lagrave;5197,9
2162E0800644K;F;1948;;62300;;LENS;18147,1
2244E0628491M;D;1988;5;44100;Rue Vaucanson;Nantes;11033,2
2327E3416075Q;B;2012;10;27190;Rue des Riflets;CONCHES-EN-OUCHE;4242,8
2130E0784011L;C;1948;350;30130;Chemin du Colombier;PONT ST ESPRIT, France;17910,3
2292E2351825K;D;1948;;92310;.;Sèvres;5647,1
2372E3216872S;C;;;72220;Lieu Dit les Chretiennieres;ECOMMOY;10140,9
2157E0784505M;G;1964;72;57200;Rue de Ruffec;Sarreguemines;46233,7
2202E1828605C;E;1978;13;02160;Rue Roger Paquet;Pontavert;16622,9
2344E1257045R;C;2009;28;44220;Rue Jacques Demy;COUERON (N° : 042428);9902,1
2188E0785152O;E;1948;12;88700;Rue Andre Pernet;RAMBERVILLERS;12437,6
2295E1187833P;C;1971;1;95600;Rue d'Andilly;Eaubonne;9021,3
2378E2656933V;D;1975;2;78500;Rue Fernand Leger;SARTROUVILLE;15749,1
2188E0785482G;E;1948;18;88700;Rue Andre Pernet;RAMBERVILLERS;12306,7
2235E1391383D;C;1994;;35000;;RENNES;3920,7
2342E3285809Z;E;1964;54;42152;Rue dâ€ Onzion;L HORME;11700,5
2122E0785802A;D;1947;1;22810;Traou Lan;PLOUGONVER;32989,6
2256E0595576Z;E;1969;31bis;56000;Avenue Victor Hugo;VANNES;11681,8
2342E3322372G;E;1967;8;42152;Clos de Voron;L HORME;11689
2158E0787051L;E;1947;2;58310;Le Plessis;ST AMAND EN PUISAYE;27331,2
2241E2320583V;G;1945;17;41240;Rue Saint-Martin;BEAUCE LA ROMAINE;17914
2333E0127167K;C;2001;25;33670;Rue du Docteur Emile Saligue;CREON;13091,7
2140E0787215B;C;2003;6;40400;Lotissement Communal du Carrefour;AUDON;13350,6
2294E0747793Y;C;1968;;94430;.;CHENNEVIERES-SUR-MARNE;2846,6
2378E2669000Y;E;1975;2;78500;Rue Fernand Leger;SARTROUVILLE;11782,2
2142E0790743V;F;1947;;42110;;POUILLY LES FEURS;37596,6
2295E1913200I;E;1934;9;95170;du Professeur Piccard;Deuil-la-Barre;11053,3
2373E1072807S;C;1982;180;73000;Rue costa de beauregard;CHAMBERY;3027,8
2163E0770997E;D;1968;7;63800;Avenue de la Margeride;Cournon-d'Auvergne;22357,4
2278E2617602B;E;1948;3;78400;Avenue d'Aligre;CHATOU;22547,7
2376E0744618E;C;2008;;76340;Rue des Hetres;BLANGY-SUR-BRESLE;6962,4
2130E0773256U;D;1947;54;30000;Rue Vincent Faita;Nîmes, France;24820,8
2294E2536903W;C;1948;84bis;94100;Rue du Pont de Créteil;SAINT-MAUR-DES-FOSSES;3163,2
2349E3208833Q;C;;3;49350;Impasse Charles Priet;Gennes-Val-de-Loire;6413,6
2169E0767727Q;E;1960;2;69120;Allée des Cerisiers;Vaulx-en-Velin;14832,4
2284E2805109C;D;1948;;84100;;ORANGE;12442,8
2324E0166407H;F;;23;24000;Rue Camille Flammarion;Périgueux;39500,2
2141E0768818N;D;1948;19;41000;Rue du Languedoc;BLOIS;13012,5
2295E1681120E;D;1984;;95800;LUCILE;Cergy;14292,4
2369E1829427I;D;;3;69400;Allee du Forest;LIMAS;12371,2
2126E0769544W;E;1948;;26740;;MONTBOUCHER-SUR-JABRON;37267
2222E1352914B;D;1945;;22140;Rue Géron le du;PLUZUNET;8806,7
2335E2833832Z;C;2013;9;35000;Rue Roger-Henri Guerrand;Rennes;3507,3
2183E0762561M;C;1984;;83400;;HYERES;14151,9
2295E2149366Q;D;1973;;95100;de la Fontaine;Argenteuil;15754,4
2385E1219397G;F;1969;;85110;Rue du huit mai;CHANTONNAY;15901,1
2163E0762543A;D;1988;53;63120;Rue Jules Vallés;COURPIERE;19256,6
2294E2337713S;D;2006;11ter;94240;Rue Gustave Charpentier;L'Hay-les-Roses;13714,9
2301E1561389O;C;;9;01460;Lotissement les Pins;NURIEUX VOLOGNAT;8827,5
2173E0763608J;D;2011;;73350;Chalet l'Iskra;CHAMPAGNY EN VANOISE;14627,5
2275E1937532K;F;1948;18-20;75018;Rue Boucry;Paris;25000,5
2342E3327251X;E;1967;12;42152;Clos de Voron;L HORME;16260
2141E0755465Y;D;1989;7;41140;Rue des Grands Champs;ST ROMAIN SUR CHER;20277
2295E2314635D;C;1948;;95400;;Villiers-le-Bel;7878,1
2376E1237994E;D;1953;4;76360;Rue du Commandant Emile Duboc;BARENTIN;12352,9
2171E0756110X;C;1948;4;71100;Rue André Malraux;CHALON SUR SAONE;9869,7
2277E0821744O;D;1945;;77510;Route de Rebais;LA TRETOIRE;14329,4
2334E2233937B;C;1989;11;34740;Rue du Peyrou;Vendargues;9956,8
2191E0757483M;F;1947;14;91740;Rue de la Mairie;PUSSAY;31604,7
2235E2210484A;E;1945;6;35660;La Haillerais;LA CHAPELLE DE BRAIN;15418,1
2331E3372560D;B;2014;1578;31470;Route de Muret;SAINT-LYS;3558,2
